nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj
LHSM,,,IZIVIA,sav@izivia.com,972668001,LHSM,None11,FR*SOD*S*HAVR*2*1*_*_,GRAND HAMEAU,voirie,470 Rue Irène Joliot-Curie 76620 Le Havre,76620,"[49.528107,0.104071]",1,None,FR*SOD*E*HAVR*2*1*1*_,,True,False,False,False,True,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2016-06-14T06:44:53,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
LHSM,,,IZIVIA,sav@izivia.com,972668001,LHSM,None11,FR*SOD*S*HAVR*2*1*_*_,GRAND HAMEAU,voirie,470 Rue Irène Joliot-Curie 76620 Le Havre,76620,"[49.528107,0.104071]",1,None,FR*SOD*E*HAVR*2*1*1*_,,True,False,False,False,True,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2016-06-14T06:44:53,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
LHSM,,,IZIVIA,sav@izivia.com,972668001,LHSM,None12,FR*SOD*S*HAVR*2*1*_*_,GRAND HAMEAU,voirie,470 Rue Irène Joliot-Curie 76620 Le Havre,76620,"[49.528107,0.104071]",1,None,FR*SOD*E*HAVR*2*1*2*_,,True,False,False,False,True,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2016-06-14T06:44:53,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
LHSM,,,IZIVIA,sav@izivia.com,972668001,LHSM,None12,FR*SOD*S*HAVR*2*1*_*_,GRAND HAMEAU,voirie,470 Rue Irène Joliot-Curie 76620 Le Havre,76620,"[49.528107,0.104071]",1,None,FR*SOD*E*HAVR*2*1*2*_,,True,False,False,False,True,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2016-06-14T06:44:53,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
LHSM,,,IZIVIA,sav@izivia.com,972668001,LHSM,None11,FR*SOD*S*HAVR*3*1*_*_,STADE OCEANE,voirie,54 Rue du Pont Tinel 76600 Le Havre,76600,"[49.499710,0.170574]",1,None,FR*SOD*E*HAVR*3*1*1*_,,True,False,False,False,True,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2015-02-16T11:09:41,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
LHSM,,,IZIVIA,sav@izivia.com,972668001,LHSM,None11,FR*SOD*S*HAVR*3*1*_*_,STADE OCEANE,voirie,54 Rue du Pont Tinel 76600 Le Havre,76600,"[49.499710,0.170574]",1,None,FR*SOD*E*HAVR*3*1*1*_,,True,False,False,False,True,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2015-02-16T11:09:41,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
LHSM,,,IZIVIA,sav@izivia.com,972668001,LHSM,None12,FR*SOD*S*HAVR*3*1*_*_,STADE OCEANE,voirie,54 Rue du Pont Tinel 76600 Le Havre,76600,"[49.499710,0.170574]",1,None,FR*SOD*E*HAVR*3*1*2*_,,True,False,False,False,True,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2015-02-16T11:09:41,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
LHSM,,,IZIVIA,sav@izivia.com,972668001,LHSM,None12,FR*SOD*S*HAVR*3*1*_*_,STADE OCEANE,voirie,54 Rue du Pont Tinel 76600 Le Havre,76600,"[49.499710,0.170574]",1,None,FR*SOD*E*HAVR*3*1*2*_,,True,False,False,False,True,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2015-02-16T11:09:41,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
LHSM,,,IZIVIA,sav@izivia.com,972668001,LHSM,None11,FR*SOD*S*HAVR*11*1*_*_,JOFFRE,voirie,17 Rue Robert le Diable 76600 Le Havre,76600,"[49.500801,0.127742]",1,None,FR*SOD*E*HAVR*11*1*1*_,,True,False,False,False,True,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2014-10-30T08:55:05,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
LHSM,,,IZIVIA,sav@izivia.com,972668001,LHSM,None11,FR*SOD*S*HAVR*11*1*_*_,JOFFRE,voirie,17 Rue Robert le Diable 76600 Le Havre,76600,"[49.500801,0.127742]",1,None,FR*SOD*E*HAVR*11*1*1*_,,True,False,False,False,True,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2014-10-30T08:55:05,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
LHSM,,,IZIVIA,sav@izivia.com,972668001,LHSM,None11,FR*SOD*S*HAVR*14*1*_*_,HAVRE,voirie,41 Place de l’Hôtel de Ville 76600 Le Havre,76600,"[49.493671,0.106105]",1,None,FR*SOD*E*HAVR*14*1*1*_,,True,True,False,False,False,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2017-02-06T09:38:13,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
LHSM,,,IZIVIA,sav@izivia.com,972668001,LHSM,None12,FR*SOD*S*HAVR*14*1*_*_,HAVRE,voirie,41 Place de l’Hôtel de Ville 76600 Le Havre,76600,"[49.493671,0.106105]",1,None,FR*SOD*E*HAVR*14*1*2*_,,True,True,False,False,False,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2017-02-06T09:38:13,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
LHSM,,,IZIVIA,sav@izivia.com,972668001,LHSM,None11,FR*SOD*S*HAVR*15*1*_*_,PARKING RELAIS SCHUMAN,voirie,15 Rue Flandres Dunkerque 76610 Le Havre,76610,"[49.513523,0.163931]",1,None,FR*SOD*E*HAVR*15*1*1*_,,True,True,False,False,False,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2017-07-11T08:25:12,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
LHSM,,,IZIVIA,sav@izivia.com,972668001,LHSM,None12,FR*SOD*S*HAVR*15*1*_*_,PARKING RELAIS SCHUMAN,voirie,15 Rue Flandres Dunkerque 76610 Le Havre,76610,"[49.513523,0.163931]",1,None,FR*SOD*E*HAVR*15*1*2*_,,True,True,False,False,False,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2017-07-11T08:25:12,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
LHSM,,,IZIVIA,sav@izivia.com,972668001,LHSM,None11,FR*SOD*S*HAVR*16*1*_*_,GARE HARFLEUR BEAULIEU,voirie,9 Avenue Président René Coty 76700 Harfleur,76700,"[49.506687,0.191886]",1,None,FR*SOD*E*HAVR*16*1*1*_,,True,True,False,False,False,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2017-09-01T07:50:21,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
LHSM,,,IZIVIA,sav@izivia.com,972668001,LHSM,None12,FR*SOD*S*HAVR*16*1*_*_,GARE HARFLEUR BEAULIEU,voirie,9 Avenue Président René Coty 76700 Harfleur,76700,"[49.506687,0.191886]",1,None,FR*SOD*E*HAVR*16*1*2*_,,True,True,False,False,False,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2017-09-01T07:50:21,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
LHSM,,,IZIVIA,sav@izivia.com,972668001,LHSM,None11,FR*SOD*S*HAVR*17*1*_*_,PISCINE BELLE ETOILE 1,voirie,45 Rue Jacques Brel 76290 Montivilliers,76290,"[49.550964,0.174089]",1,None,FR*SOD*E*HAVR*17*1*1*_,,True,True,False,False,False,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2017-06-09T06:32:15,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
LHSM,,,IZIVIA,sav@izivia.com,972668001,LHSM,None12,FR*SOD*S*HAVR*17*1*_*_,PISCINE BELLE ETOILE 1,voirie,45 Rue Jacques Brel 76290 Montivilliers,76290,"[49.550964,0.174089]",1,None,FR*SOD*E*HAVR*17*1*2*_,,True,True,False,False,False,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2017-06-09T06:32:15,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
LHSM,,,IZIVIA,sav@izivia.com,972668001,LHSM,None11,FR*SOD*S*HAVR*18*1*_*_,PISCINE BELLE ETOILE 2,voirie,45 Rue Jacques Brel 76290 Montivilliers,76290,"[49.550968,0.174147]",1,None,FR*SOD*E*HAVR*18*1*1*_,,True,True,False,False,False,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2017-06-09T06:17:15,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
