exercice,d_r,i_f,ordre_o_n,code_chapitre,libelle_chapitre,code_ss_fonction,libelle_ss_fonction,code_article,libelle_article,montant
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,64,Crèches et garderies,61558,ENTRETIEN ET REPARATIONS - AUTRES BIENS MOBILIERS,1991.37
2012,D,F,N,12,CHARGES DE PERSONNEL,422,Autres activités pour les jeunes,6451,COTISATIONS A L'U.R.S.S.A.F.,508388.28
2012,D,F,N,12,CHARGES DE PERSONNEL,64,Crèches et garderies,64131,PERSONNEL NON TITULAIRE - REMUNERATIONS,1906065.34
2012,D,F,N,12,CHARGES DE PERSONNEL,823,Espaces verts urbains,6488,AUTRES CHARGES DE PERSONNEL,470090.19
2012,R,I,O,40,OPERATIONS D'ORDRE DE TRANSFERTS ENTRE SECTIONS,1,Services généraux opérations non ventilables,2802,AMORT. REALISATION DE DOCUMENTS D URBANISME,2805.48
2012,R,I,O,40,OPERATIONS D'ORDRE DE TRANSFERTS ENTRE SECTIONS,1,Services généraux opérations non ventilables,28041622,AMORT. SUB EQPT ORG PUB CCAS - BATIMENTS ET INSTALLATIONS,142533.31
2012,D,I,O,41,OPERATIONS PATRIMONIALES,1,Services généraux opérations non ventilables,20442,SUBVENTIONS D'EQUIPEMENT EN NATURE/PERSONNES DE DROIT PRIVE,0.0
2012,D,I,O,41,OPERATIONS PATRIMONIALES,1,Services généraux opérations non ventilables,2113,TERRAINS AMENAGES AUTRES QUE VOIRIE,33795.0
2012,D,I,N,21,IMMOBILISATIONS CORPORELLES,321,Bibliothèques et médiathèques,2183,MATERIEL DE BUREAU ET MATERIEL INFORMATIQUE,5453.75
2012,D,I,N,21,IMMOBILISATIONS CORPORELLES,822,Voirie communale et routes,2158,AUTRES INSTALLATIONS MATERIEL ET OUTILLAGE TECHNIQUES,16282.22
2012,D,I,N,21,IMMOBILISATIONS CORPORELLES,823,Espaces verts urbains,2185,CHEPTEL,3834.0
2012,R,I,N,23,IMMOBILISATIONS  EN COURS,20,Administration générale de la collectivité,2313,IMMOBILISATIONS EN COURS - CONSTRUCTIONS,428.6
2012,D,I,N,23,IMMOBILISATIONS EN COURS,323,Archives,2316,IMMO. EN COURS - RESTAURATION COLLECTIONS ET OEUVRES D'ART,12497.73
2012,D,I,N,23,IMMOBILISATIONS EN COURS,411,"Salles de sport, gymnases",2312,IMMOBILISATIONS EN COURS - TERRAINS,2707799.0
2012,D,I,N,23,IMMOBILISATIONS EN COURS,421,Centres de loisirs,2313,IMMOBILISATIONS EN COURS - CONSTRUCTIONS,151405.5
2012,D,I,N,23,IMMOBILISATIONS EN COURS,510,Santé - services communs,2313,IMMOBILISATIONS EN COURS - CONSTRUCTIONS,54710.8
2012,D,F,N,65,AUTRES CHARGES DE GESTION COURANTE,422,Autres activités pour les jeunes,651,"REDEVANCES POUR CONCESSIONS, BREVETS, LICENCES, PROCEDES,...",435.26
2012,D,F,N,65,AUTRES CHARGES DE GESTION COURANTE,820,Aménagements urbains - services communs,6574,SUBV. FONCT ASSOCIATIONS ET AUTRES PERSONNES DE DROIT PRIVE,22600.0
2012,R,F,N,70,"PRODUITS DES SERVICES, DU DOMAINE ET VENTES DIVERSES",22,Administration générale de l'Etat,7088,AUTRES PRODUITS D'ACTIVITES ANNEXES,8.25
2012,R,F,N,77,PRODUITS EXCEPTIONNELS,321,Bibliothèques et médiathèques,7718,AUTRES PRODUITS EXCEPTIONNELS SUR OPERATIONS GESTION,0.0
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,48,Autres actions de coopération décentralisée,6068,AUTRES MATIERES ET FOURNITURES,6876.31
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,110,Sécurité intérieure - services communs,6257,RECEPTIONS,194.6
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,110,Sécurité intérieure - services communs,6288,DIVERS - AUTRES SERVICES EXTERIEURS,1705.7
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,255,Autres enseignements,6251,VOYAGES ET DEPLACEMENTS,17850.53
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,322,Musées,6244,TRANSPORTS ADMINISTRATIFS,84.7
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,33,Action culturelle,6068,AUTRES MATIERES ET FOURNITURES,15278.33
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,413,Piscines,6156,MAINTENANCE,7000.68
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,415,Manifestations sportives,6236,CATALOGUES ET IMPRIMES,649.43
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,422,Autres activités pour les jeunes,60623,ALIMENTATION,8881.03
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,60,Famille - Services communs,60623,ALIMENTATION,175.83
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,33,Action culturelle,6065,"LIVRES, DISQUES, CASSETTES  (BIBLIOTHEQUES ET MEDIATHEQUES)",34577.59
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,411,"Salles de sport, gymnases",6064,FOURNITURES ADMINISTRATIVES,16873.82
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,413,Piscines,60623,ALIMENTATION,421.85
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,414,Autres équipements sportifs ou de loisir,62878,REMBOURSEMENT DE FRAIS A D'AUTRES ORGANISMES,1012144.19
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,415,Manifestations sportives,6247,TRANSPORTS COLLECTIFS,305.55
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,422,Autres activités pour les jeunes,60622,CARBURANTS,338.17
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,422,Autres activités pour les jeunes,61558,ENTRETIEN ET REPARATIONS - AUTRES BIENS MOBILIERS,3190.79
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,422,Autres activités pour les jeunes,637,"AUTRES IMPOTS, TAXES ET VRSTS ASSIMILES (AUTRES ORGANISMES)",14.65
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,60,Famille - Services communs,60632,FOURNITURES DE PETIT EQUIPEMENT,0.0
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,64,Crèches et garderies,6132,LOCATIONS IMMOBILIERES,0.0
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,820,Aménagements urbains - services communs,61558,ENTRETIEN ET REPARATIONS - AUTRES BIENS MOBILIERS,0.0
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,91,Marchés et droits de place,6247,TRANSPORTS COLLECTIFS,0.0
2012,D,F,N,12,CHARGES DE PERSONNEL,23,"Information, communication, publicité",64112,"PERSONNEL TITULAIRE - NBI, SFT, INDEMNITE RESIDENCE",17882.48
2012,D,F,N,12,CHARGES DE PERSONNEL,324,Entretien du Patrimoine culturel,6451,COTISATIONS A L'U.R.S.S.A.F.,222005.08
2012,D,F,N,12,CHARGES DE PERSONNEL,33,Action culturelle,6332,COTISATIONS VERSEES AU F.N.A.L.,55306.39
2012,D,F,N,12,CHARGES DE PERSONNEL,40,Sports et Jeunesse - Services communs,64111,PERSONNEL TITULAIRE- REMUNERATION PRINCIPALE,7144119.84
2012,D,F,N,12,CHARGES DE PERSONNEL,40,Sports et Jeunesse - Services communs,6451,COTISATIONS A L'U.R.S.S.A.F.,1577282.41
2012,D,F,N,12,CHARGES DE PERSONNEL,520,Interventions sociales - services communs,6336,COTISATIONS AU CENTRE NATIONAL ET DE GESTION DE LA FPT,17754.42
2012,R,I,O,40,OPERATIONS D'ORDRE DE TRANSFERTS ENTRE SECTIONS,1,Services généraux opérations non ventilables,28041582,AMORT. SBV. EQPT ORG. PUB. GTPS COLL.-AUTRES GRPEMENTS-BATIM,12846.66
2012,R,I,O,40,OPERATIONS D'ORDRE DE TRANSFERTS ENTRE SECTIONS,1,Services généraux opérations non ventilables,28041632,AMORT. SUB. EQPT ORG. PUB. ETAB & SERV.-CARACT. ADM. BATIMEN,6163.46
2012,D,I,O,41,OPERATIONS PATRIMONIALES,1,Services généraux opérations non ventilables,21318,AUTRES BATIMENTS PUBLICS,345.0
2012,D,I,O,41,OPERATIONS PATRIMONIALES,1,Services généraux opérations non ventilables,2183,MATERIEL DE BUREAU ET MATERIEL INFORMATIQUE,0.0
2012,R,F,O,42,OPERATIONS D'ORDRE DE TRANSFERT ENTRE SECTION,20,Administration générale de la collectivité,722,TRAVAUX EN REGIE,166916.65
2012,R,I,N,13,SUBVENTIONS INVESTISSEMENT,213,Classes regroupées,1321,SUBVENTIONS D'EQUIPEMENT NON TRANSFERABLES ETAT,86706.8
2012,R,I,N,13,SUBVENTIONS INVESTISSEMENT,213,Classes regroupées,1323,SUBVENTIONS EQUIPEMENT NON TRANSFERABLES DEPARTEMENTS,88271.0
2012,R,I,N,13,SUBVENTIONS INVESTISSEMENT,321,Bibliothèques et médiathèques,1322,SUBVENTIONS D'EQUIPEMENT NON TRANSFERABLES REGIONS,0.0
2012,D,I,N,204,SUBVENTIONS D'EQUIPEMENT VERSEES,422,Autres activités pour les jeunes,20421,"SUBV. EQPT PERSONNES DT PRIVE BIENS MOBILIER, MAT. & ETUDES",721840.95
2012,D,I,N,204,SUBVENTIONS D'EQUIPEMENT VERSEES,820,Aménagements urbains - services communs,2041512,SUBV. EQPT AU GFP RATTACHEMENT BATIMENTS ET INSTALLATIONS,0.0
2012,D,I,N,21,IMMOBILISATIONS CORPORELLES,213,Classes regroupées,2184,MOBILIER,474676.52
2012,D,I,N,21,IMMOBILISATIONS CORPORELLES,33,Action culturelle,2181,"INSTALLATIONS GENERALES,  AGENCEMENTS ET AMENAGEMENTS DIVERS",8970.0
2012,D,I,N,21,IMMOBILISATIONS CORPORELLES,413,Piscines,2188,AUTRES IMMOBILISATIONS CORPORELLES,76014.96
2012,D,I,N,23,IMMOBILISATIONS EN COURS,321,Bibliothèques et médiathèques,2316,IMMO. EN COURS - RESTAURATION COLLECTIONS ET OEUVRES D'ART,9817.79
2012,D,I,N,23,IMMOBILISATIONS EN COURS,321,Bibliothèques et médiathèques,238,AVANCES VERSEES SUR COMMANDES D IMMO. CORPORELLES EN COURS,0.0
2012,D,F,N,66,CHARGES FINANCIERES,1,Services généraux opérations non ventilables,66111,INTERETS REGLES A L'ECHEANCE,7462956.47
2012,D,F,N,66,CHARGES FINANCIERES,1,Services généraux opérations non ventilables,6618,INTERETS DES AUTRES DETTES,32579.28
2012,D,F,N,67,CHARGES EXCEPTIONNELLES,20,Administration générale de la collectivité,678,AUTRES CHARGES EXCEPTIONNELLES,1419158.04
2012,D,F,N,67,CHARGES EXCEPTIONNELLES,110,Sécurité intérieure - services communs,6718,AUTRES CHARGES EXCEPTIONNELLES SUR OPERATIONS DE GESTION,845.0
2012,D,F,N,67,CHARGES EXCEPTIONNELLES,414,Autres équipements sportifs ou de loisir,678,AUTRES CHARGES EXCEPTIONNELLES,9048.06
2012,R,F,N,70,"PRODUITS DES SERVICES, DU DOMAINE ET VENTES DIVERSES",411,"Salles de sport, gymnases",70688,REDEVANCES & DROITS POUR AUTRES PRESTATIONS DE SERVICES,2245.48
2012,R,F,N,70,"PRODUITS DES SERVICES, DU DOMAINE ET VENTES DIVERSES",823,Espaces verts urbains,7035,LOCATIONS DROITS DE CHASSE ET DE PECHE,634.62
