exercice,etape,depenses_recettes,ordre_reelle,section,chapitre,libelle_chapitre,sous_chapitre,libelle_sous_chapitre,article_par_nature,libelle_article_par_nature,montant
2018,BP,D,Réel,Fonctionnement,939,Action économique,92,Recherche et innovation,65735,"Subventions de fonctionnement aux autres groupements de collectivités, collectivités à statut particulier et EPL",737540.94
2018,BP,D,Réel,Fonctionnement,939,Action économique,92,Recherche et innovation,65738,Subventions de fonctionnement aux organismes publics divers,18388984.38
2018,BP,D,Réel,Fonctionnement,939,Action économique,92,Recherche et innovation,6245,Transports de personnes extérieures à la collectivité,2010.0
2018,BP,D,Réel,Fonctionnement,939,Action économique,91,Interventions économiques transversales,6236,"Catalogues, imprimés et publications",5000.0
2018,BP,D,Réel,Fonctionnement,939,Action économique,93,"Agriculture, pêche, agro-industrie",6231,Annonces et insertions,98000.0
2018,BP,D,Réel,Fonctionnement,930,Services généraux,202,Autres moyens généraux,60611,Eau et assainissement,41481.53
2018,BP,D,Réel,Fonctionnement,930,Services généraux,202,Autres moyens généraux,6064,Fournitures administratives,408208.22
2018,BP,D,Réel,Fonctionnement,930,Services généraux,202,Autres moyens généraux,6132,Locations immmobilières,2212634.65
2018,BP,D,Réel,Fonctionnement,930,Services généraux,202,Autres moyens généraux,615221,Entretien et réparation - bâtiments publics,1186939.04
2018,BP,D,Réel,Fonctionnement,930,Services généraux,202,Autres moyens généraux,6185,Frais de colloques et de séminaires,10000.0
2018,BP,D,Réel,Fonctionnement,930,Services généraux,202,Autres moyens généraux,6226,Honoraires,77166.91
2018,BP,D,Réel,Fonctionnement,930,Services généraux,202,Autres moyens généraux,6228,Diverses rémunérations d'intermédiaires et honoraires,405465.0
2018,BP,D,Réel,Fonctionnement,930,Services généraux,202,Autres moyens généraux,6233,Foires et expositions,5000.0
2018,BP,D,Réel,Fonctionnement,930,Services généraux,202,Autres moyens généraux,6234,Réceptions,76440.0
2018,BP,D,Réel,Fonctionnement,930,Services généraux,202,Autres moyens généraux,6261,Frais d'affranchissement,428037.01
2018,BP,D,Réel,Fonctionnement,930,Services généraux,202,Autres moyens généraux,65733,Subventions de fonctionnement aux Départements,12000.0
2018,BP,D,Réel,Fonctionnement,930,Services généraux,22,Conseil Economique et Social Régional,6475,"Médecine de travail, pharmacie",500.0
