code,libelle,etat,insee_commune,nom_commune,mo_raison_sociale,x,y,precision_coord,categorie,puissance_maximum,productible_moyen,debit,coef_energetique,nb_turbines,type_turbine,titre,date_echeance_titre,hauteur_de_chute
9004001,Centrale d'Albies,EXPL,9004,Albiès,ENERGIE ELECTRIQUE DE PALOUMA,593335.0,6187410.0,0,Ouvrage fonctionnant au fil de l'eau,1.888,3127132.0,,,,,Autorisée,2024-08-04,10.69
9014001,MOULIN DE ROQUES,EXPL,9014,Argein,SARL DU MOULIN DE ROQUES,535762.0,6205450.0,0,Ouvrage fonctionnant au fil de l'eau,0.13,228122.0,,,,,,,4.7
9015001,Centrale d'Arignac,EXPL,9015,Arignac,MOULIN D'ARIGNAC,585909.0,6197060.0,0,Ouvrage fonctionnant au fil de l'eau,,346776.0,,,,,,,13.6
9015002,Moulin de la Calviere,EXPL,9015,Arignac,SNC CALVIERE,585010.0,6198010.0,0,Ouvrage fonctionnant au fil de l'eau,,531075.0,,,,,,,12.0
9018001,ARROUT,EXPL,9018,Arrout,DEPARTEMENT DE L'ARIEGE,539348.0,6206780.0,0,Ouvrage fonctionnant au fil de l'eau,0.8,2675187.0,6.6,"0,041000",2.0,Francis,Autorisée,1994-10-16,19.5
9024001,LAPARAN,EXPL,9024,Aston,ELECTRICITE DE FRANCE,590524.0,6179330.0,0,Ouvrage de type Lac,43.8,90662000.0,11.7,"0,983000",1.0,Francis,Concédée,2058-12-31,442.0
9024002,ASTON,EXPL,9024,Aston,ELECTRICITE DE FRANCE,591625.0,6187260.0,0,Ouvrage fonctionnant par éclusées,105.9,310564992.0,24.2,"1,160000",4.0,Pelton,Concédée,2023-12-31,519.8
9026001,Centrale DUPUY,EXPL,9026,Audressein,EURL MICROENERGIE,538565.06,6205544.0,0,Ouvrage fonctionnant au fil de l'eau,0.1,,6.0,,1.0,,Autorisée,2031-05-07,1.8
9030001,SOULCEM,EXPL,9030,Auzat,ELECTRICITE DE FRANCE,570972.0,6180270.0,0,Ouvrage de type Lac,26.2,46515200.0,7.0,"0,900000",1.0,Francis,Concédée,2060-12-31,410.6
9030002,BASSIES,EXPL,9030,Auzat,ELECTRICITE DE FRANCE,573359.0,6184240.0,0,Ouvrage de type Lac,3.0,14871933.0,0.8,"0,955000",1.0,Pelton,Concédée,1994-10-16,439.0
9030003,PRADIERES Basse Chute,EXPL,9030,Auzat,ELECTRICITE DE FRANCE,576195.0,6180610.0,0,Ouvrage de type Lac,10.0,18570532.0,3.4,"0,994000",1.0,Pelton,Concédée,2006-12-31,458.4
9030004,AUZAT,EXPL,9030,Auzat,ELECTRICITE DE FRANCE,575280.0,6185840.0,0,Ouvrage fonctionnant au fil de l'eau,52.2,158036928.0,16.3,"0,913000",2.0,Francis double,Concédée,1994-10-16,415.1
9030005,PRADIERES Haute Chute,EXPL,9030,Auzat,ELECTRICITE DE FRANCE,576209.0,6180610.0,0,Ouvrage de type Lac,23.3,51718200.0,5.1,"1,400000",2.0,Pelton,Concédée,2047-12-31,648.8
