nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj
GARENNE,,,IZIVIA,sav@izivia.com,972668001,GARENNE,FRLGCPGACO111,FR*SOD*S*GACO*1*1*_*_,LA GARENNE-COLOMBES - 52 BOULEVARD DE LA REPUBLIQUE,voirie,48 Boulevard de la République 92250 La Garenne-Colombes,92250,"[48.906326,2.249567]",6,FRLGCEGACO111,FR*SOD*E*GACO*1*1*1*_,3000,False,True,False,False,False,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2020-09-16T08:59:29,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
GARENNE,,,IZIVIA,sav@izivia.com,972668001,GARENNE,FRLGCPGACO121,FR*SOD*S*GACO*1*2*_*_,LA GARENNE-COLOMBES - 52 BOULEVARD DE LA REPUBLIQUE,voirie,48 Boulevard de la République 92250 La Garenne-Colombes,92250,"[48.906326,2.249567]",6,FRLGCEGACO121,FR*SOD*E*GACO*1*2*1*_,7000,False,True,False,False,False,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2020-09-16T09:00:07,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
GARENNE,,,IZIVIA,sav@izivia.com,972668001,GARENNE,FRLGCPGACO131,FR*SOD*S*GACO*1*3*_*_,LA GARENNE-COLOMBES - 52 BOULEVARD DE LA REPUBLIQUE,voirie,48 Boulevard de la République 92250 La Garenne-Colombes,92250,"[48.906326,2.249567]",6,FRLGCEGACO131,FR*SOD*E*GACO*1*3*1*_,7000,True,True,False,False,False,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2020-09-16T09:00:10,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
GARENNE,,,IZIVIA,sav@izivia.com,972668001,GARENNE,FRLGCPGACO131,FR*SOD*S*GACO*1*3*_*_,LA GARENNE-COLOMBES - 52 BOULEVARD DE LA REPUBLIQUE,voirie,48 Boulevard de la République 92250 La Garenne-Colombes,92250,"[48.906326,2.249567]",6,FRLGCEGACO131,FR*SOD*E*GACO*1*3*1*_,7000,True,True,False,False,False,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2020-09-16T09:00:10,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
GARENNE,,,IZIVIA,sav@izivia.com,972668001,GARENNE,FRLGCPGACO141,FR*SOD*S*GACO*1*4*_*_,LA GARENNE-COLOMBES - 52 BOULEVARD DE LA REPUBLIQUE,voirie,48 Boulevard de la République 92250 La Garenne-Colombes,92250,"[48.906326,2.249567]",6,FRLGCEGACO141,FR*SOD*E*GACO*1*4*1*_,7000,False,True,False,False,False,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2020-09-16T09:00:15,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
GARENNE,,,IZIVIA,sav@izivia.com,972668001,GARENNE,FRLGCPGACO151,FR*SOD*S*GACO*1*5*_*_,LA GARENNE-COLOMBES - 52 BOULEVARD DE LA REPUBLIQUE,voirie,48 Boulevard de la République 92250 La Garenne-Colombes,92250,"[48.906326,2.249567]",6,FRLGCEGACO151,FR*SOD*E*GACO*1*5*1*_,7000,False,True,False,False,False,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2020-09-16T09:00:12,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
GARENNE,,,IZIVIA,sav@izivia.com,972668001,GARENNE,FRLGCPGACO161,FR*SOD*S*GACO*1*6*_*_,LA GARENNE-COLOMBES - 52 BOULEVARD DE LA REPUBLIQUE,voirie,48 Boulevard de la République 92250 La Garenne-Colombes,92250,"[48.906326,2.249567]",6,FRLGCEGACO161,FR*SOD*E*GACO*1*6*1*_,7000,False,True,False,False,False,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2020-12-09T08:22:06,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
GARENNE,,,IZIVIA,sav@izivia.com,972668001,GARENNE,FRLGCPGACO211,FR*SOD*S*GACO*2*1*_*_,LA GARENNE-COLOMBES - 92 BOULEVARD NATIONAL,voirie,91 Boulevard National 92250 La Garenne-Colombes,92250,"[48.908458,2.237217]",6,FRLGCEGACO211,FR*SOD*E*GACO*2*1*1*_,7000,False,True,False,False,False,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2020-09-22T13:35:07,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
GARENNE,,,IZIVIA,sav@izivia.com,972668001,GARENNE,FRLGCPGACO221,FR*SOD*S*GACO*2*2*_*_,LA GARENNE-COLOMBES - 92 BOULEVARD NATIONAL,voirie,91 Boulevard National 92250 La Garenne-Colombes,92250,"[48.908458,2.237217]",6,FRLGCEGACO221,FR*SOD*E*GACO*2*2*1*_,7000,False,True,False,False,False,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2020-10-29T14:27:51,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
GARENNE,,,IZIVIA,sav@izivia.com,972668001,GARENNE,FRLGCPGACO231,FR*SOD*S*GACO*2*3*_*_,LA GARENNE-COLOMBES - 92 BOULEVARD NATIONAL,voirie,91 Boulevard National 92250 La Garenne-Colombes,92250,"[48.908458,2.237217]",6,FRLGCEGACO231,FR*SOD*E*GACO*2*3*1*_,7000,True,True,False,False,False,False,True,False,True,,acces libre,False,24/7,Accessibilité inconnue,aucune restriction,False,,,2020-10-29T14:27:53,conditions acces aux bornes dépendantes des accords et formules de votre EMSP,2021-08-08
